State,County Code,County Name,MSA Name,One-Family,Two-Family,Three-Family,Four-Family,Limit Type
CA,06037,Los Angeles County,Los Angeles-Long Beach-Anaheim,1249125,1599375,1933200,2402625,Ceiling
CA,06059,Orange County,Los Angeles-Long Beach-Anaheim,1249125,1599375,1933200,2402625,Ceiling
